time,skill,queue,dialing,acw,loginin,free,leave,yuzhan
08:15:15,7252,0,0,0,1,0,1,0
08:15:20,7252,0,0,0,1,0,1,0
08:15:25,7252,0,0,0,1,0,1,0
08:15:30,7252,0,0,0,1,0,1,0
08:15:35,7252,0,0,0,1,0,1,0
08:15:40,7252,0,0,0,1,0,1,0
08:15:45,7252,0,0,0,1,0,1,0
08:15:50,7252,0,0,0,1,0,1,0
08:15:55,7252,0,0,0,1,0,1,0
08:16:00,7252,0,0,0,1,0,1,0
08:16:05,7252,0,0,0,1,0,1,0
08:16:10,7252,0,0,0,1,0,1,0
08:16:15,7252,0,0,0,1,0,1,0
08:16:20,7252,0,0,0,1,0,1,0
08:16:25,7252,0,0,0,1,0,1,0
08:16:30,7252,0,0,0,1,0,1,0
08:16:35,7252,0,0,0,1,0,1,0
08:16:40,7252,0,0,0,1,0,1,0
08:16:45,7252,0,0,0,1,0,1,0
08:16:50,7252,0,0,0,1,0,1,0
08:16:55,7252,0,0,0,1,0,1,0
08:17:00,7252,0,0,0,1,0,1,0
08:17:05,7252,0,0,0,1,0,1,0
08:17:10,7252,0,0,0,1,0,1,0
08:17:15,7252,0,0,0,1,0,1,0
08:17:20,7252,0,0,0,1,0,1,0
08:17:25,7252,0,0,0,1,0,1,0
08:17:30,7252,0,0,0,1,0,1,0
08:17:35,7252,0,0,0,1,0,1,0
08:17:40,7252,0,0,0,1,0,1,0
08:17:45,7252,0,0,0,1,0,1,0
08:17:50,7252,0,0,0,1,0,1,0
08:17:55,7252,0,0,0,1,0,1,0
08:18:00,7252,0,0,0,1,0,1,0
08:18:05,7252,0,0,0,1,0,1,0
08:18:10,7252,0,0,0,1,0,1,0
08:18:15,7252,0,0,0,1,0,1,0
08:18:20,7252,0,0,0,1,0,1,0
08:18:25,7252,0,0,0,1,0,1,0
08:18:30,7252,0,0,0,1,0,1,0
08:18:35,7252,0,0,0,1,0,1,0
08:18:40,7252,0,0,0,1,0,1,0
08:18:45,7252,0,0,0,1,0,1,0
08:18:50,7252,0,0,0,1,0,1,0
08:18:55,7252,0,0,0,1,0,1,0
08:19:00,7252,0,0,0,1,0,1,0
08:19:05,7252,0,0,0,1,0,1,0
08:19:10,7252,0,0,0,1,0,1,0
08:19:15,7252,0,0,0,1,0,1,0
08:19:20,7252,0,0,0,1,0,1,0
08:19:25,7252,0,0,0,1,0,1,0
08:19:30,7252,0,0,0,1,0,1,0
08:19:35,7252,0,0,0,2,0,2,0
08:19:40,7252,0,0,0,2,0,2,0
08:19:45,7252,0,0,0,2,0,2,0
08:19:50,7252,0,0,0,2,0,2,0
08:19:55,7252,0,0,0,2,0,2,0
08:20:00,7252,0,0,0,2,0,2,0
08:20:05,7252,0,0,0,2,0,2,0
08:20:10,7252,0,0,0,2,0,2,0
08:20:15,7252,0,0,0,2,0,2,0
08:20:20,7252,0,0,0,2,0,2,0
08:20:25,7252,0,0,0,2,0,2,0
08:20:30,7252,0,0,0,2,0,2,0
08:20:35,7252,0,0,0,2,0,2,0
08:20:40,7252,0,0,0,2,0,2,0
08:20:45,7252,0,0,0,2,0,2,0
08:20:50,7252,0,0,0,2,0,2,0
08:20:55,7252,0,0,0,2,0,2,0
08:21:00,7252,0,0,0,2,0,2,0
08:21:05,7252,0,0,0,2,0,2,0
08:21:10,7252,0,0,0,2,0,2,0
08:21:15,7252,0,0,0,2,0,2,0
08:21:20,7252,0,0,0,2,0,2,0
08:21:25,7252,0,0,0,2,0,2,0
08:21:30,7252,0,0,0,2,0,2,0
08:21:35,7252,0,0,0,2,0,2,0
08:21:40,7252,0,0,0,2,0,2,0
08:21:45,7252,0,0,0,2,0,2,0
08:21:50,7252,0,0,0,2,0,2,0
08:21:55,7252,0,0,0,2,0,2,0
08:22:00,7252,0,0,0,2,0,2,0
08:22:05,7252,0,0,0,2,0,2,0
08:22:10,7252,0,0,0,2,0,2,0
08:22:15,7252,0,0,0,2,0,2,0
08:22:20,7252,0,0,0,2,0,2,0
08:22:25,7252,0,0,0,2,0,2,0
08:22:30,7252,0,0,0,2,0,2,0
08:22:35,7252,0,0,0,2,0,2,0
08:22:40,7252,0,0,0,2,0,2,0
08:22:45,7252,0,0,0,2,0,2,0
08:22:50,7252,0,0,0,2,0,2,0
08:22:55,7252,0,0,0,2,0,2,0
08:23:00,7252,0,0,0,2,0,2,0
08:23:05,7252,0,0,0,2,0,2,0
08:23:10,7252,0,0,0,2,0,2,0
08:23:15,7252,0,0,0,2,0,2,0
08:23:20,7252,0,0,0,2,0,2,0
08:23:21,7060,0,0,0,1,0,1,0
08:23:21,7029,0,0,0,0,0,0,0
08:23:25,7252,0,0,0,2,0,2,0
08:23:26,7060,0,0,0,1,0,1,0
08:23:26,7029,0,0,0,0,0,0,0
08:23:30,7252,0,0,0,2,0,2,0
08:23:31,7060,0,0,0,1,0,1,0
08:23:31,7029,0,0,0,0,0,0,0
08:23:35,7252,0,0,0,2,0,2,0
08:23:36,7060,0,0,0,1,0,1,0
08:23:36,7029,0,0,0,0,0,0,0
08:23:40,7252,0,0,0,2,0,2,0
08:23:41,7060,0,0,0,1,0,1,0
08:23:41,7029,0,0,0,0,0,0,0
08:23:45,7252,0,0,0,2,0,2,0
08:23:46,7060,0,0,0,1,0,1,0
08:23:46,7029,0,0,0,0,0,0,0
08:23:50,7252,0,0,0,2,0,2,0
08:23:51,7060,0,0,0,1,0,1,0
08:23:51,7029,0,0,0,0,0,0,0
08:23:55,7252,0,0,0,2,0,2,0
08:23:56,7060,0,0,0,1,0,1,0
08:23:56,7029,0,0,0,0,0,0,0
08:24:00,7252,0,0,0,2,0,2,0
08:24:01,7060,0,0,0,1,0,1,0
08:24:01,7029,0,0,0,0,0,0,0
08:24:05,7252,0,0,0,2,0,2,0
08:24:06,7060,0,0,0,1,0,1,0
08:24:06,7029,0,0,0,0,0,0,0
08:24:10,7252,0,0,0,2,0,2,0
08:24:11,7060,0,0,0,1,0,1,0
08:24:11,7029,0,0,0,0,0,0,0
08:24:15,7252,0,0,0,2,0,2,0
08:24:16,7060,0,0,0,1,0,1,0
08:24:16,7029,0,0,0,0,0,0,0
08:24:20,7252,0,0,0,2,0,2,0
08:24:21,7060,0,0,0,1,0,1,0
08:24:21,7029,0,0,0,0,0,0,0
08:24:25,7252,0,0,0,2,0,2,0
08:24:26,7060,0,0,0,1,0,1,0
08:24:26,7029,0,0,0,0,0,0,0
08:24:30,7252,0,0,0,2,0,2,0
08:24:31,7060,0,0,0,1,0,1,0
08:24:31,7029,0,0,0,0,0,0,0
08:24:35,7252,0,0,0,2,0,2,0
08:24:36,7060,0,0,0,1,0,1,0
08:24:36,7029,0,0,0,0,0,0,0
08:24:40,7252,0,0,0,2,0,2,0
08:24:41,7060,0,0,0,1,0,1,0
08:24:41,7029,0,0,0,0,0,0,0
08:24:45,7252,0,0,0,2,0,2,0
08:24:46,7060,0,0,0,1,0,1,0
08:24:46,7029,0,0,0,0,0,0,0
08:24:50,7252,0,0,0,2,0,2,0
08:24:51,7060,0,0,0,1,0,1,0
08:24:51,7029,0,0,0,0,0,0,0
08:24:55,7252,0,0,0,2,0,2,0
08:24:56,7060,0,0,0,1,0,1,0
08:24:56,7029,0,0,0,0,0,0,0
08:25:00,7252,0,0,0,2,0,2,0
08:25:01,7060,0,0,0,1,0,1,0
08:25:01,7029,0,0,0,0,0,0,0
08:25:05,7252,0,0,0,2,0,2,0
08:25:06,7060,0,0,0,1,0,1,0
08:25:06,7029,0,0,0,0,0,0,0
08:25:10,7252,0,0,0,2,0,2,0
08:25:11,7060,0,0,0,1,0,1,0
08:25:11,7029,0,0,0,0,0,0,0
08:25:15,7252,0,0,0,1,0,1,0
08:25:16,7060,0,0,0,1,0,1,0
08:25:16,7029,0,0,0,0,0,0,0
08:25:20,7252,0,0,0,2,0,2,0
08:25:21,7060,0,0,0,1,0,1,0
08:25:21,7029,0,0,0,0,0,0,0
08:25:25,7252,0,0,0,2,0,2,0
08:25:26,7060,0,0,0,1,0,1,0
08:25:26,7029,0,0,0,0,0,0,0
