time,skill,queue,dialing,acw,loginin,free,leave,yuzhan
08:01:28,7020,0,0,0,1,0,1,0
08:01:33,7062,0,0,0,0,0,0,0
08:01:33,7020,0,0,0,1,0,1,0
08:01:38,7062,0,0,0,0,0,0,0
08:01:38,7020,0,0,0,1,0,1,0
08:01:43,7062,0,0,0,0,0,0,0
08:01:43,7020,0,0,0,1,0,1,0
08:01:48,7062,0,0,0,0,0,0,0
08:01:48,7020,0,0,0,1,0,1,0
08:01:53,7062,0,0,0,0,0,0,0
08:01:53,7020,0,0,0,1,0,1,0
08:01:58,7062,0,0,0,0,0,0,0
08:01:58,7020,0,0,0,1,0,1,0
08:02:03,7062,0,0,0,0,0,0,0
08:02:03,7020,0,0,0,1,0,1,0
08:02:08,7062,0,0,0,0,0,0,0
08:02:08,7020,0,0,0,1,0,1,0
08:02:13,7062,0,0,0,0,0,0,0
08:02:13,7020,0,0,0,2,0,2,0
08:02:18,7062,0,0,0,0,0,0,0
08:02:18,7020,0,0,0,2,0,2,0
08:02:23,7062,0,0,0,0,0,0,0
08:02:23,7020,0,0,0,2,0,2,0
08:02:28,7062,0,0,0,0,0,0,0
08:02:28,7020,0,0,0,2,0,2,0
08:02:33,7062,0,0,0,0,0,0,0
08:02:33,7020,0,0,0,2,0,2,0
08:02:38,7062,0,0,0,0,0,0,0
08:02:38,7020,0,0,0,2,0,2,0
08:02:43,7062,0,0,0,0,0,0,0
08:02:43,7020,0,0,0,2,0,2,0
08:02:48,7062,0,0,0,0,0,0,0
08:02:48,7020,0,0,0,2,0,2,0
08:02:53,7062,0,0,0,0,0,0,0
08:02:53,7020,0,0,0,2,0,2,0
08:02:58,7062,0,0,0,0,0,0,0
08:02:58,7020,0,0,0,2,0,2,0
08:03:03,7062,0,0,0,0,0,0,0
08:03:03,7020,0,0,0,2,0,2,0
08:03:08,7062,0,0,0,0,0,0,0
08:03:08,7020,0,0,0,2,0,2,0
08:03:13,7062,0,0,0,0,0,0,0
08:03:13,7020,0,0,0,2,0,2,0
08:03:18,7062,0,0,0,0,0,0,0
08:03:18,7020,0,0,0,2,0,2,0
08:03:23,7062,0,0,0,0,0,0,0
08:03:23,7020,0,0,0,2,0,2,0
08:03:28,7062,0,0,0,0,0,0,0
08:03:28,7020,0,0,0,2,0,2,0
08:03:33,7062,0,0,0,0,0,0,0
08:03:33,7020,0,0,0,2,0,2,0
08:03:38,7062,0,0,0,0,0,0,0
08:03:38,7020,0,0,0,2,0,2,0
08:03:43,7062,0,0,0,0,0,0,0
08:03:43,7020,0,0,0,2,0,2,0
08:03:48,7062,0,0,0,0,0,0,0
08:03:48,7020,0,0,0,2,0,2,0
08:03:53,7062,0,0,0,0,0,0,0
08:03:53,7020,0,0,0,2,0,2,0
08:03:58,7062,0,0,0,0,0,0,0
08:03:58,7020,0,0,0,2,0,2,0
08:04:03,7062,0,0,0,0,0,0,0
08:04:03,7020,0,0,0,2,0,2,0
08:04:08,7062,0,0,0,0,0,0,0
08:04:08,7020,0,0,0,2,0,2,0
08:04:13,7062,0,0,0,0,0,0,0
08:04:13,7020,0,0,0,2,0,2,0
08:04:18,7062,0,0,0,0,0,0,0
08:04:18,7020,0,0,0,2,0,2,0
08:04:23,7062,0,0,0,0,0,0,0
08:04:23,7020,0,0,0,2,0,2,0
08:04:28,7062,0,0,0,0,0,0,0
